concept:name,time:timestamp,qty_completed,qty_rejected
Round Grinding - Manual,1970-01-12 15:59:15.230760+00:00,21,0
Turning & Milling - Machine 6,1970-01-13 07:23:24.627688+00:00,28,0
Final Inspection Q.C.,1970-01-17 15:37:19.319741+00:00,33,0
Final Inspection Q.C.,1970-01-23 17:08:26.083772+00:00,16,0
Turning & Milling Q.C.,1970-01-25 01:31:10.531491+00:00,25,0
Lapping - Machine 1,1970-01-27 15:10:13.473328+00:00,13,0
Final Inspection Q.C.,1970-01-29 14:11:47.613011+00:00,19,0
Lapping - Machine 1,1970-02-02 20:47:21.964750+00:00,20,0
Final Inspection Q.C.,1970-02-08 02:02:49.211263+00:00,23,0
Final Inspection Q.C.,1970-02-09 21:45:26.236113+00:00,15,0
Round Grinding - Manual,1970-02-11 07:20:27.267042+00:00,15,0
Round Grinding - Machine 2,1970-02-12 01:52:02.169969+00:00,10,0
Turning & Milling - Machine 6,1970-01-13 07:23:24.627688+00:00,21,0
Grinding Rework - Machine 27,1970-01-15 12:49:32.197792+00:00,19,0
Packing,1970-01-19 18:15:20.579076+00:00,25,0
Lapping - Machine 1,1970-01-21 18:49:55.996990+00:00,21,0
Turning & Milling - Machine 8,1970-01-22 11:46:31.387756+00:00,16,0
Turning & Milling Q.C.,1970-01-23 20:48:08.220017+00:00,21,0
Turning & Milling Q.C.,1970-02-04 02:37:47.019612+00:00,24,0
Milling - Machine 8,1970-01-13 05:41:37.857143+00:00,22,0
Final Inspection Q.C.,1970-01-14 13:04:03.935573+00:00,21,0
Turning & Milling - Machine 6,1970-01-14 13:42:38.902853+00:00,22,0
Packing,1970-01-15 05:53:23.504628+00:00,22,0
Lapping - Machine 1,1970-01-15 15:49:55.956767+00:00,17,0
Turning & Milling - Machine 8,1970-01-15 20:39:32.740402+00:00,20,0
Round Grinding - Machine 2,1970-01-16 10:18:00.092145+00:00,20,0
Turning & Milling - Machine 5,1970-01-14 03:38:47.359175+00:00,16,0
Round Grinding - Machine 12,1970-01-17 03:38:43.870562+00:00,18,0
Round Grinding - Machine 12,1970-01-18 12:03:28.917274+00:00,27,0
Turning & Milling Q.C.,1970-01-20 21:36:30.887092+00:00,20,0
Round Grinding - Machine 12,1970-01-22 14:25:07.273455+00:00,23,0
Round Grinding - Machine 3,1970-01-23 05:51:09.661964+00:00,17,0
Turning & Milling - Machine 8,1970-01-23 11:50:19.583088+00:00,15,0
Turning & Milling Q.C.,1970-01-28 06:23:21.406968+00:00,20,0
Round Grinding - Machine 3,1970-01-29 08:03:40.611491+00:00,26,0
